dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,sr-off,balanced,REFUTED,383.077,440.659,21.330,1508.956,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,sr-off,balanced,TIMEOUT,205.493,20139.736,0.000,,20411,113199,20360,91999,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,sr-off,balanced,REFUTED,315.953,280.560,51.503,4438.061,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,sr-off,balanced,REFUTED,304.013,173.364,61.325,8535.624,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,sr-off,balanced,TIMEOUT,160.599,20109.816,0.000,,26483,1785090,17079,1626680,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,sr-off,balanced,REFUTED,151.331,223.084,28.172,464.190,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,sr-off,balanced,TIMEOUT,168.594,20099.827,0.000,,25701,2092187,17312,1971968,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,sr-off,balanced,TIMEOUT,150.905,20103.914,0.000,,28951,1603679,17720,1482084,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,sr-off,balanced,TIMEOUT,88.251,20087.252,0.000,,566,2623617,521,2620559,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,sr-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
