dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,baseline,balanced,REFUTED,389.887,448.259,17.288,1564.473,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,baseline,balanced,TIMEOUT,197.490,20134.562,0.000,,20388,113039,20340,91871,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,baseline,balanced,REFUTED,313.091,271.748,59.999,4709.277,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,baseline,balanced,REFUTED,296.502,179.548,55.531,9152.749,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,baseline,balanced,TIMEOUT,152.681,20103.399,0.000,,26386,1776488,17046,1618843,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,baseline,balanced,REFUTED,154.245,284.041,30.030,505.989,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,baseline,balanced,TIMEOUT,167.255,20105.946,0.000,,25379,2013159,17191,1894563,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,baseline,balanced,TIMEOUT,173.294,20116.564,0.000,,29161,1621397,17913,1496428,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,baseline,balanced,TIMEOUT,103.093,20083.235,0.000,,567,2639310,522,2636248,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,baseline,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,fwdsubs-off,balanced,REFUTED,393.662,448.811,17.441,1482.919,2667,20939,2005,18272,1022,13,4236,2357573,4986,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,fwdsubs-off,balanced,TIMEOUT,183.541,20121.492,0.000,,26727,127959,25861,101257,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,fwdsubs-off,balanced,REFUTED,317.389,303.966,52.253,4474.853,1208,2242,389,1009,474,12,2073,4433920,4348,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,fwdsubs-off,balanced,REFUTED,300.748,197.450,66.609,8487.850,161,196,81,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,fwdsubs-off,balanced,TIMEOUT,159.838,20100.470,0.000,,53882,2779248,6833,2725258,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,fwdsubs-off,balanced,TIMEOUT,121.946,20215.498,0.000,,38696,6572607,2512,6533911,165,0,,,,,,,false,
tptp400,Problems/ALG/ALG134+1.p,fwdsubs-off,balanced,TIMEOUT,203.996,20108.529,0.000,,59718,4205820,8407,4146102,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,fwdsubs-off,balanced,TIMEOUT,142.208,20099.225,0.000,,94712,4186103,14024,4091391,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,fwdsubs-off,balanced,TIMEOUT,91.141,20075.797,0.000,,2965,3646507,352,3643461,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,fwdsubs-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,bwdsubs-off,balanced,REFUTED,424.808,509.675,21.144,1609.010,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,bwdsubs-off,balanced,TIMEOUT,164.518,20109.809,0.000,,26212,159655,26131,132408,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,bwdsubs-off,balanced,REFUTED,320.413,311.876,47.407,4871.117,801,1963,393,808,474,12,1693,3742303,4276,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,bwdsubs-off,balanced,REFUTED,281.424,173.633,53.420,8350.180,110,191,102,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,bwdsubs-off,balanced,TIMEOUT,161.634,20112.494,0.000,,22201,2153597,22115,2005568,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,bwdsubs-off,balanced,REFUTED,141.378,228.382,29.820,513.671,507,3400,380,2592,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,bwdsubs-off,balanced,TIMEOUT,176.212,20104.739,0.000,,21217,2072094,21215,1955758,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,bwdsubs-off,balanced,TIMEOUT,151.615,20097.115,0.000,,24317,2545622,24317,2448377,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,bwdsubs-off,balanced,TIMEOUT,107.446,20089.418,0.000,,559,2590209,525,2587179,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,bwdsubs-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,sr-off,balanced,REFUTED,383.077,440.659,21.330,1508.956,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,sr-off,balanced,TIMEOUT,205.493,20139.736,0.000,,20411,113199,20360,91999,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,sr-off,balanced,REFUTED,315.953,280.560,51.503,4438.061,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,sr-off,balanced,REFUTED,304.013,173.364,61.325,8535.624,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,sr-off,balanced,TIMEOUT,160.599,20109.816,0.000,,26483,1785090,17079,1626680,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,sr-off,balanced,REFUTED,151.331,223.084,28.172,464.190,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,sr-off,balanced,TIMEOUT,168.594,20099.827,0.000,,25701,2092187,17312,1971968,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,sr-off,balanced,TIMEOUT,150.905,20103.914,0.000,,28951,1603679,17720,1482084,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,sr-off,balanced,TIMEOUT,88.251,20087.252,0.000,,566,2623617,521,2620559,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,sr-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,demod-off,balanced,REFUTED,386.826,460.036,16.672,1569.885,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,demod-off,balanced,TIMEOUT,162.673,20118.520,0.000,,20416,113217,20365,92012,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,demod-off,balanced,TIMEOUT,183.235,20148.321,0.000,,25720,1890158,18919,1517724,474,12,,,,,,,false,
tptp400,Problems/ALG/ALG022+1.p,demod-off,balanced,REFUTED,303.377,536.955,62.050,8465.073,507,1362,293,754,127,24,1107,4866576,2389,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,demod-off,balanced,TIMEOUT,178.568,20117.414,0.000,,23612,1178999,13015,1038877,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,demod-off,balanced,REFUTED,162.204,242.795,31.207,501.408,895,8350,736,6381,165,0,404,664779,1070,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,demod-off,balanced,TIMEOUT,153.734,20102.936,0.000,,25596,2066361,17266,1946687,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,demod-off,balanced,TIMEOUT,186.948,20126.237,0.000,,29650,1693344,18319,1566318,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,demod-off,balanced,TIMEOUT,128.810,20080.179,0.000,,1122,3194946,1105,3188072,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,demod-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,cond-on,balanced,REFUTED,512.459,513.140,18.082,1671.779,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,cond-on,balanced,TIMEOUT,182.071,20118.399,0.000,,20343,112593,20303,91486,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,cond-on,balanced,REFUTED,322.700,309.397,47.132,4734.867,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,cond-on,balanced,REFUTED,343.395,215.586,59.223,8951.516,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,cond-on,balanced,TIMEOUT,156.183,20106.482,0.000,,23722,1484494,15388,1352132,325,34,,,,,,,false,
