dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,orthologic-on,balanced,TIMEOUT,195.297,20139.121,0.000,,20276,122837,20276,101597,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,orthologic-on,balanced,TIMEOUT,174.140,20105.836,0.000,,20560,112398,20513,91026,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,orthologic-on,balanced,REFUTED,151.472,276.451,19.396,83.620,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,orthologic-on,balanced,TIMEOUT,129.218,20069.919,0.000,,586,2626644,511,2623558,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,orthologic-on,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,orthologic-on,balanced,TIMEOUT,138.019,20077.563,0.000,,9329,3261836,9134,3245118,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,orthologic-on,balanced,TIMEOUT,128.428,20104.345,0.000,,8857,3190332,8784,3178660,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,orthologic-on,balanced,TIMEOUT,304.794,20113.013,0.000,,4613,2577798,4496,2569592,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,orthologic-on,balanced,TIMEOUT,403.569,20145.256,0.000,,4660,2879775,4580,2871513,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,orthologic-on,balanced,TIMEOUT,320.284,20106.287,0.000,,4755,3028105,4647,3019453,152,94,,,,,,,false,
