dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,orthologic-off,balanced,TIMEOUT,172.843,20122.036,0.000,,20693,150887,20693,129223,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,orthologic-off,balanced,TIMEOUT,164.679,20111.232,0.000,,20376,110086,20337,88912,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,orthologic-off,balanced,REFUTED,194.450,284.793,21.091,102.831,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,orthologic-off,balanced,TIMEOUT,132.910,20096.806,0.000,,578,2551128,503,2548112,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,orthologic-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,orthologic-off,balanced,TIMEOUT,117.032,20071.505,0.000,,9340,3276844,9145,3260104,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,orthologic-off,balanced,TIMEOUT,156.477,20096.351,0.000,,8893,3286290,8820,3274570,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,orthologic-off,balanced,TIMEOUT,336.888,20113.725,0.000,,4860,2724521,4743,2715817,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,orthologic-off,balanced,TIMEOUT,332.907,20102.901,0.000,,4691,2993662,4611,2985338,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,orthologic-off,balanced,TIMEOUT,319.297,20201.064,0.000,,4765,3072935,4657,3064265,152,94,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT007+2.p,orthologic-on,balanced,TIMEOUT,195.297,20139.121,0.000,,20276,122837,20276,101597,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,orthologic-on,balanced,TIMEOUT,174.140,20105.836,0.000,,20560,112398,20513,91026,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,orthologic-on,balanced,REFUTED,151.472,276.451,19.396,83.620,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,orthologic-on,balanced,TIMEOUT,129.218,20069.919,0.000,,586,2626644,511,2623558,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,orthologic-on,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,orthologic-on,balanced,TIMEOUT,138.019,20077.563,0.000,,9329,3261836,9134,3245118,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,orthologic-on,balanced,TIMEOUT,128.428,20104.345,0.000,,8857,3190332,8784,3178660,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,orthologic-on,balanced,TIMEOUT,304.794,20113.013,0.000,,4613,2577798,4496,2569592,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,orthologic-on,balanced,TIMEOUT,403.569,20145.256,0.000,,4660,2879775,4580,2871513,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,orthologic-on,balanced,TIMEOUT,320.284,20106.287,0.000,,4755,3028105,4647,3019453,152,94,,,,,,,false,
