dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,orthologic-on,balanced,REFUTED,412.227,478.927,17.430,1481.432,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,orthologic-on,balanced,TIMEOUT,185.281,20111.687,0.000,,20407,113170,20359,91975,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,orthologic-on,balanced,REFUTED,297.895,264.954,44.434,4547.973,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,orthologic-on,balanced,REFUTED,318.052,215.908,61.234,9008.248,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,orthologic-on,balanced,TIMEOUT,186.834,20126.700,0.000,,26626,1813540,17154,1652889,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,orthologic-on,balanced,REFUTED,163.910,236.205,31.624,493.013,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,orthologic-on,balanced,TIMEOUT,173.714,20112.316,0.000,,25903,2132309,17425,2011278,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,orthologic-on,balanced,TIMEOUT,146.125,20109.676,0.000,,28175,1572999,17163,1460419,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,orthologic-on,balanced,TIMEOUT,90.292,20138.067,0.000,,564,2600541,519,2597495,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,orthologic-on,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
