dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,sine-off,balanced,TIMEOUT,176.400,20125.991,0.000,,20575,146225,20575,124686,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,sine-off,balanced,TIMEOUT,162.385,20104.467,0.000,,20398,110228,20351,89028,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,sine-off,balanced,REFUTED,197.895,310.345,19.360,86.170,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,sine-off,balanced,TIMEOUT,126.250,20121.306,0.000,,573,2512302,498,2509302,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,sine-off,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,sine-off,balanced,TIMEOUT,150.396,20081.368,0.000,,9299,3223956,9104,3207308,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,sine-off,balanced,TIMEOUT,157.151,20092.481,0.000,,8910,3330898,8837,3319154,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,sine-off,balanced,TIMEOUT,335.295,20101.809,0.000,,4712,2707308,4595,2698904,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,sine-off,balanced,TIMEOUT,449.193,20136.860,0.000,,4666,2893967,4586,2885693,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,sine-off,balanced,TIMEOUT,352.028,20181.056,0.000,,4739,2979575,4631,2970953,152,94,,,,,,,false,
