dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,sine-on,balanced,TIMEOUT,170.920,20114.484,0.000,,20282,122854,20282,101608,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,sine-on,balanced,TIMEOUT,170.691,20114.827,0.000,,20219,107984,20201,86990,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,sine-on,balanced,REFUTED,176.577,303.418,21.671,87.386,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
casc-j13-fof,Problems/ALG/ALG213+1.p,sine-on,balanced,TIMEOUT,165.657,20096.577,0.000,,577,2545903,502,2542893,5,5,,,,,,,false,
casc-j13-fof,Problems/BIO/BIO006+1.p,sine-on,balanced,PARSE_ERR,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
casc-j13-fof,Problems/COM/COM008+1.p,sine-on,balanced,TIMEOUT,127.032,20089.789,0.000,,9320,3249517,9125,3232817,15,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM008+2.p,sine-on,balanced,TIMEOUT,123.899,20075.537,0.000,,8775,3115671,8702,3104118,13,3,,,,,,,false,
casc-j13-fof,Problems/COM/COM131+1.p,sine-on,balanced,TIMEOUT,295.382,20093.450,0.000,,4636,2612938,4519,2604686,157,95,,,,,,,false,
casc-j13-fof,Problems/COM/COM136+1.p,sine-on,balanced,TIMEOUT,314.642,20126.444,0.000,,4635,2785966,4555,2777754,152,94,,,,,,,false,
casc-j13-fof,Problems/COM/COM139+1.p,sine-on,balanced,TIMEOUT,344.487,20131.368,0.000,,4787,3142411,4679,3133699,152,94,,,,,,,false,
