dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,sine-off,balanced,REFUTED,418.503,432.979,21.688,1771.348,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,sine-off,balanced,TIMEOUT,186.563,20130.059,0.000,,20302,112128,20262,91070,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,sine-off,balanced,REFUTED,349.431,353.961,76.845,4606.588,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,sine-off,balanced,REFUTED,316.862,182.101,59.350,9064.113,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,sine-off,balanced,TIMEOUT,206.631,20113.452,0.000,,26355,1773497,17046,1615952,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,sine-off,balanced,REFUTED,139.746,223.300,29.964,479.493,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,sine-off,balanced,TIMEOUT,166.957,20101.992,0.000,,25609,2070706,17277,1950987,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,sine-off,balanced,TIMEOUT,150.482,20104.681,0.000,,28669,1591456,17518,1474575,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,sine-off,balanced,TIMEOUT,102.507,20090.985,0.000,,558,2542215,514,2539187,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,sine-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
tptp400,Problems/AGT/AGT005+2.p,sine-on,balanced,REFUTED,380.785,395.341,14.406,1493.957,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,sine-on,balanced,TIMEOUT,186.071,20117.458,0.000,,20258,111828,20229,90819,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,sine-on,balanced,REFUTED,352.581,270.307,49.927,4510.133,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,sine-on,balanced,REFUTED,302.333,200.519,59.746,9092.377,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,sine-on,balanced,TIMEOUT,183.195,20101.192,0.000,,26364,1774124,17046,1616547,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,sine-on,balanced,REFUTED,145.833,230.024,30.426,471.000,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,sine-on,balanced,TIMEOUT,161.554,20098.642,0.000,,26197,2172890,17646,2050179,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,sine-on,balanced,TIMEOUT,185.645,20111.408,0.000,,28756,1597012,17605,1478056,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,sine-on,balanced,TIMEOUT,84.784,20084.378,0.000,,568,2644147,523,2641067,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,sine-on,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
